tag,description
1,"Responsibilities
Develop Node.js based REST web services
Develop scalable interactive ecommerce application
Writing comprehensive unit tests
Design, architect, optimize, and refactor code to maximize performance
About You – Must Have
Bachelor’s degree in Computer Science or equivalent experience
Minimum 3 years building scalable interactive web applications
Minimum 3 years consuming or creating REST web services
Expert knowledge of JavaScript
Experience with a javascript framework (angular, react, backbone, ember)
Expertise with unit testing & Test Driven Development (TDD)
Ability to work both independently and as part of a team
About You – Nice To Have
Experience with node web servers (hapi, express, etc.)
Experience with node testing libraries (mocha, chai, karma, jasmine, etc.)
Experience with version control systems (git)
Front end experience (bootstrap, CSS)
Experience working with agile methodologies
Ecommerce experience
You also…
Have a passion for TDD
Work to increase your StackOverflow reputation
Have social proof of your passion for software development (blog, side projects, open source contributions, community involvement)"
1,"Essential Functions

:
Consistently create well-designed, tested code using best practices for website development, including mobile and responsive site design
Create websites and user interfaces, using standard HTML/CSS and JavaScript, WordPress, while incorporating data from back-end databases and services
Work programmatically with various APIs to bring data in from other web-connected assets
Capture and process data with Gravity Forms
Create and maintain workflows with teams to provide visibility and to ensure workload balance for consistent visual designs
Develop application testing procedures and monitor website traffic trends and performance
Ensure website SEO and analytics data is available in easily digestible formats
Integrate front-end web functionality with back-end CRM and marketing automation tools including SalesForce
Update existing web applications to meet security and functionality standards
Develop or validate testing plans, to help maintain browser compatibility and portability to mobile devices by performing regular testing and participating in the Change Management process
Work with IT to review and determine applications for meeting technical requirements for future use
Meet regularly with business stakeholders and management to understand and refine business and functional requirements and determine project scopes and specifications
Develop and maintain strategic operational systems, tools, and processes, including participation in tactical and strategic development projects
Improve site stability via quality assurance testing, and perform unit and user-acceptance testing to identify bugs and ensure production operations run successfully
Work quickly and carefully to complete small edits requested by stakeholders, develop and lead plans for completing larger projects, collaborate with colleagues, and suggest new solutions to improve existing websites.
Own and maintain the code for our sites, creating reusable objects and templates, wireframes for web pages and email templates; manage maintenance, updates, expansions, and scaling of each design
Perform regular backups for recovery
Demonstrate the ability to utilize project management skills while being detail-oriented
Maintain updated knowledge of new and emerging industry trends and technology
Other duties as assigned"
1,"Personal website, mobile app, hardware or robotics experience.
Experience with big data platforms and data collection tools.
Familiarity with High Availability web and database architectures and software.
Design experience using Photoshop, wireframes tools, JavaScript libraries.
Experience with transactional email platforms, feedback loops, and allow lists.
Have used Stripe payment or other payment APIs.
Experience with Twilio for video, voice, and SMS communication.
Experience with Java, Python, Google App Engine.
Experience with Cloud management platforms, such as AWS, Azure.
Experience with Software repository technology, such as Git or SVN.
Experience with Google development tools for frontend debugging and mobile responsiveness tools.
Experience with an Integrated Development Environment (IDE), such as IntelliJ, PhpStorm, Netbeans, etc."
1,"What you’ll be doing...

We are honored that you are considering Visible as your next place of employment. Visible is the first all-digital wireless carrier in the U.S. Named by Fast Company as one of the most innovative companies in the world, Visible offers unlimited messages, minutes, and data, on Verizon’s Network. Visible is designed to fundamentally change the way millions of consumers sign up for and manage their phone service. Although headquartered in Denver, we have a permanent Work from Home Structure, and our team members work remotely.

The position is for a Front End Software Engineer. You will be working as part of our team driving, designing, creating and maintaining components of our websites.

Work with internal visible team and Partners to build the UI / UX and wireframes for the new company web and back-end applications in an Agile / DevOps environment.
Provide senior-level proficiency and direction on following Tech stack:React (preferred), Angular, Java, Webpack, Node.js, HTML 5.
Track progress of multiple project plans/Sprints.
Review project approach framework and designs with engineering staff and Product team, analyze the feasibility on the approach, and identify potential risks/issues.
Work with Product manager and UX team to assist and drive the “best in class”, intuitive, engaging and simple customer interaction.
Work with Product and Design teams to drive customer journey for mobile and web experience.
Participate in UX research and usability.
What we’re looking for...

We need people who love modern, responsive web page designs. We're looking for innovative engineers who are passionate about writing code and unafraid of solving big problems. You will bring creative ideas and energy to a team, take some risks, and challenge our thinking. You possess an understanding of web development, utilizing languages such as React.js, Angular.js, Java, Webpack, and Node.js.
You'll need to have:"
1,"We are an agile team, so you will be working closely with product and design to iterate on site features that are being developed in two week sprints. You will be responsible for code reviewing the work of your team members, and will be demoing your work at the end of each sprint.

Qualifications
3+ years experience in front-end development, with a strong understanding of HTML, CSS, and JavaScript
Experience working with React, or a similar JavaScript framework
Knowledge of front-end build tools such as Webpack
Experience with one of more JavaScript unit testing frameworks
Understanding of RESTful APIs and experience working with backend developers to design/consume APIs
Knowledge of version control systems such as Subversion and Git
Familiarity with the agile methodology of software development
A desire to continuously learn new skills, and to mentor junior team members
Has a willingness to adapt, be audience focused with a curious mindset and committed to creating an inclusive work environment

Bonus Points
Strong UI Experience using CSS/SCSS at scale
Experience with Node.js and Express.js development
Experience working with relational (MySQL, Postgres) or NoSQL (MongoDB, Cassandra) databases
Familiarity with CI/CD (Docker, Jenkins)
Experience working with legacy codebases"
1,"Working with the client and project design team you will
Establish UI/UX design deliverables through block diagrams, wireframes, moodboards, mockups and specifications. Develop style guide.
Plan and Develop WordPress content architecture
Convert approved designs to functional, responsive, web/mobile templates and pages using WordPress CMS.
Work strategically with the content and marketing teams to ensure effective page optimization, usability, and brand adherence.
Support existing WordPress sites with updates, maintenance and new features/functionality.
Test and troubleshoot WordPress implementations.


Requirements

Experience and Skills Required
Minimum 2 years experience developing new WordPress sites. Portfolio samples required.
Expert in HTML and CSS
Proficient in one or more CSS frameworks -- Bootstrap/Foundation 6
Proficient with jQuery, strong Javascript skills desirable
Experience developing with GeneratePress Theme and Elementor, WooCommerce, GravityForms, The Events Calendar, Wordfence, Updraft Plus, SEO Framework and related plugins
Integration with CRM, Email Marketing and other third-party tools and platforms


Additional
Solid understanding of WordPress data structures and design schema (including the template hierarchy) and ability to diagnose and troubleshoot code- and css-related issues.
A professional approach, including adherence to WordPress PHP Coding and CSS standards
Strong PHP skills
Custom WordPress theme and plug-in development experience a plus
Custom Field development and implementation using ACF or Toolset a plus"
1,"Requirements
Bachelor's degree in computer science or related major.
Demonstrated excellence in studies, standardized tests and competitions.
1-2 years full-time coding experience.
Experienced working with JavaScript, PHP, and other web-based scripting languages.
Experienced with back-end development, particularly on the LAMP stack.
Experienced with front-end design and development (HTML, CSS, JavaScript, etc.).
Experience implementing software with third-party APIs and libraries.
Highly analytical, able to optimize diverse requirements into innovative solutions.
Excellent written and verbal communication skills.
Passion for learning and mastering new skills.
A strong sense of ownership and personal accountability."
1,"
WHAT WE’RE LOOKING FOR:

We are looking for highly qualified individuals with the following (in order of priority):
3+ years professional experience developing single page applications
A solid background in Modern Front End Development, including JavaScript frameworks
Experience in AngularJS and Angular 2+ versions
Solid understanding of TypeScript and RxJS
Experience with state management patterns and libraries like NgRx or Akita is a plus
Strong communication and interpersonal skills who are comfortable interacting with clients
A good understanding of Computer Science (CS degree, or equivalent knowledge is required)
We are looking for a candidate who has strong Angular knowledge and production experience on top of a solid JavaScript background. The interview process will focus on both JavaScript and Angular understanding. While this role will typically work on Angular projects with our clients, there is a chance team members will have the opportunity to work on other frameworks as well.

We welcome diversity and non-traditional paths into the developer profession, and advocate strongly for hiring the right person as opposed to the right combination of tech keywords. Check out this blog post on what we’d love from a potential Angular Consultant on our team: https://www.bitovi.com/blog/13-things-an-angular-consultant-needs-to-know-to-be-successful

THE JOB:

You’ll work with clients to create applications, discussing and designing architectures, reviewing code, and researching new front-end technologies.

You’ll have the opportunity to shape a small and growing company by applying your talent and passion to the Angular and JavaScript communities in your own way.
"
1,"Job Responsibilities:

Implement the designs written in react-native to the company’s mobile app and website
Design and build efficient intuitive front-end applications
Collaborate with Product Managers, Designers, and Software Engineers to deliver high-quality user-facing products
Interact with our customers’ technical leadership, understand their requirements, and execute the same
Work with a wide range of systems and technologies and solve problems from end-to-end
Job Requirements:

Bachelor’s/Master’s degree in Computer Science (or equivalent experience)
Proficient with React and React Native frameworks
Good at styling and animations
Experience with SVG would be a plus
Can function effectively without too much hand-holding and micromanagement
Fluent English communicator, and effective team-player"
1,"Job Responsibilities

Build Web Products in accordance with UX team design specifications
Provide guidance and support for younger engineers
Conduct Integration and automated testng
Go the extra mile to create pixel perfect work
Must have:

2+ years with React, HTML, CSS
Advanced knowledge of reusable, modern front-end code while being proficient in all stages of web development
Belief in giving back and the concept continuous learning.
Experience working in an Agile/Scrum environment
Should have:

knowledge of JavaScript and Typescript Experience building Web-services and API development and systems on scale
Experience with building products from the ground up.
Comfortable with ambiguity and pivots (We're a startup, learning as we go!)"
1,"Job Summary

We are looking for a developer to join our Front-End web team that can help us grow our product effectively while meeting our internal and industry standards, maintaining existing technologies, and assisting in modernizing legacy code. You will get to work with a growing diverse team to bring new features online, while also continuing to improve our existing products.

Our core front-end web products utilize a mix of modern JS frameworks such React and Vue, while our mobile application is built using React Native. All of these products interface with our Microsoft .Net API and are hosted on Azure.

Key Responsibilities

Build, implement and maintain software solutions to meet business needs utilizing industry standard tools and Agile methodology best practices
Participate in the team code review process to ensure code meets best practices and coding standards
Turn UI/UX designs into functional prototypes that provide excellent interactions for our users
Able to work both in team collaborating in technical design and independently with minimal guidance
Take accountability and drive projects to completion
Help test the implementation of features to ensure they meet initial requirements
Skills & Requirements

2+ years’ experience with HTML5, CSS3/SCSS, and JavaScript (ES6)
Awareness of current front-end development standards, including Accessibility, Responsiveness, Performance, UX
Experience and understanding of modern JS frameworks (React.js, Vue)
Familiarity with common tools such as Git for version control, Webpack, Yarn/NPM
Ability to work in an Agile environment, utilizing JIRA for task management
Eagerness to jump in and actively contribute to improving a growing product"
1,"We are looking for an engineer with strong Front-End skills who has a passion for applying technology to advance health. Our ideal candidate has experience in driving front-end projects end-to-end, collaborating on product decisions, implementing the technical solutions, and measuring their success. You enjoy writing clean, well-organized code with the emphasis on simplicity and performance. Attention to detail is second nature for you and you’ve done enough projects to instinctively know what works, and what doesn’t. You thrive in a fast-moving, startup environment, you have a personal interest in health and wellness, and you are passionate about Foodsmart's mission.
Key Responsibilities:
Develop Foodsmart’s Front End features for FoodSmart’s web applications
Participate in overall planning and execution of front-end projects
Work closely with the product, design and business teams
Requirements:
2+ years professional experience in full lifecycle software development
Relevant experience developing applications in React framework
Fluent in Javascript, HTML, CSS and related technologies
Some comfort with Fullstack work in node.js
Hands-on experience with best practices, continuous deployment, and clean well-documented code
Good track record of working in a culture of collaboration and execution
BS in Computer Science or a related field preferred"
1,"Requirements:
Advanced knowledge of modern HTML, CSS and web standards
Skilled at JavaScript, AJAX, and DOM scripting
Strong ability to debug web pages using Chrome DevTools and similar tools
Good design sensibilities and awareness of UX best practices
Strong collaborator and teammate, with exceptional communication skills
Required Skills:
Excellent core JavaScript
Experience with React.js
Working with ReactJS based application using MobX models
Experience building REST APIs.
Prior mobile web development experience
JSS, SASS, LESS or other CSS preprocessors
Unix command line
Familiarity with http and network requests
Knowledge of website performance tuning and optimization
English: upper-intermediate
Will be a plus:
Next/Vue/Nuxt experience
Experience with analytics (Google Analytics, Google Tag Manager, Adobe Dynamic Tag Management, etc)
Available for periodic on call support rotation
BS degree in Computer Science or related field (or equivalent industry experience)
"
1,"Qualifications
4+ years of Frontend development experience
Experience working with Vue.js
Good understanding with HTML5, CSS3
Ability to work with design mockups and implement exactly with the specified styles
Strong JavaScript skills
English: Upper-Intermediate
Would be a plus
Vuex
Writing logic for forms behavior
UI Framework (etc. AntDesign, Bootstrap, Material)
Unit Tests
Module development
DOM manipulation
"
1,"We are looking for a qualified Front-end developer to join our IT team. You will be responsible for building the ‘client-side’ of our web applications. You should be able to translate our company and customer needs into functional and appealing interactive applications. If you’re interested in creating a user-friendly environment by writing code and moving forward in your career, then this job is for you. We expect you to be a tech-savvy professional, who is curious about new digital technologies and aspires to combine usability with visual design. Ultimately, you should be able to create a functional and attractive digital environment for our company, ensuring great user experience.

Responsibilities

Use markup languages like HTML to create user-friendly web pages
Maintain and improve website
Optimize applications for maximum speed
Design mobile-based features
Collaborate with back-end developers and web designers to improve usability
Get feedback from, and build solutions for, users and customers
Write functional requirement documents and guides
Create quality mockups and prototypes
Help back-end developers with coding and troubleshooting
Ensure high quality graphic standards and brand consistency
Stay up-to-date on emerging technologies
Skills

Proven work experience as a Front-end developer
Hands on experience with markup languages
Experience with JavaScript, CSS and jQuery
Familiarity with browser testing and debugging
In-depth understanding of the entire web development process (design, development and deployment)
Understanding of layout aesthetics
Knowledge of SEO principles
Familiarity with software like Adobe Suite, Photoshop and content management systems
An ability to perform well in a fast-paced environment
Excellent analytical and multitasking skills
BSc degree in Computer Science or relevant field
"
1,"We are seeking a Front-End Software Engineer to join our growing team and help deliver experiences to improve growth. You will be challenged to build applications quickly but thoughtfully, balancing speed to market with longevity and scalability, all in the name of an extraordinary customer experience.

Responsibilities
Build awesome web experiences using React.js
Plan and accommodate all mediums, screen sizes and device types
Build in flexibility and customization from the start
Adapt to changing business conditions and priorities
Partner with product managers, designers, QA engineers and release engineers as your application moves from development to production
Nice to Have
For this position, we are considering candidates at all levels of experience building web and/or mobile experiences or who possess other evidence of exceptional ability
Bachelor’s Degree in Computer Science or related field, or equivalent experience or other evidence of exceptional ability
Solid communication skills
Solid understanding of fundamental web technologies such as HTML, CSS, REST, and JSON.
Strong proficiency in modern JavaScript
Thorough understanding of React.js and its core principles
Unit Testing with Jest/Enzyme
Experience with state management libraries such as Redux and React Context
Experience with common front-end development tools such as Babel, TypeScript, Rollup, Webpack, NPM, etc.
Experience with Docker
Experience working with and designing RESTful APIs
Experience with Node.js and Express
Excellent mastery of web standards, cross-browser compatibility, and accessibility.
Strong CSS skills w/ experience building responsive applications across a variety of browsers and devices using modern CSS3 techniques
Ability to identify tasks which require automation and automate them
Expert knowledge of maintaining and debugging live software systems
"
1,"The position is for a Front End Software Engineer. You will be working as part of our team driving, designing, creating and maintaining components of our websites.

Work with internal visible team and Partners to build the UI / UX and wireframes for the new company web and back-end applications in an Agile / DevOps environment.
Provide senior-level proficiency and direction on following Tech stack:React (preferred), Angular, Java, Webpack, Node.js, HTML 5.
Track progress of multiple project plans/Sprints.
Review project approach framework and designs with engineering staff and Product team, analyze the feasibility on the approach, and identify potential risks/issues.
Work with Product manager and UX team to assist and drive the “best in class”, intuitive, engaging and simple customer interaction.
Work with Product and Design teams to drive customer journey for mobile and web experience.
Participate in UX research and usability.
What we’re looking for...

We need people who love modern, responsive web page designs. We're looking for innovative engineers who are passionate about writing code and unafraid of solving big problems. You will bring creative ideas and energy to a team, take some risks, and challenge our thinking. You possess an understanding of web development, utilizing languages such as React.js, Angular.js, Java, Webpack, and Node.js.
You'll need to have:

"
1,"The successful candidate is passionate about HTML, CSS, JavaScript and jQuery. This position will work closely with creative designers and clients as an advanced interactive developer bringing branded creative content to life.
Major Activities

Work within existing code and CMS platforms to build out pages and make edits to existing pages with supplied content
Write clean HTML, CSS, and JavaScript
Translate design comps into usable websites and/or rich media with regards to SEO, and usability and accessibility best practices
Work collaboratively with strategy and creative teams and other developers
Maintain expertise in existing rich media tools as well new tools and technologies being developed
Develop social media websites/applications
Other duties as assigned

Minimum Education

BA/BS Degree
Area of Study: Multimedia, marketing, computer science, management and information systems, graphic and interaction design a plus
Minimum Special Certifications or technical skills

Demonstrated ability to code for different kinds of interactive media and application types
Deep understanding of HTML/CSS and responsive design
Knowledge of Javascript, JQuery and/or other frameworks
Comfortable with Git, GitHub, Atom, Sublime, Gulp, Grunt
Very familiar with Adobe CS5
Experience in developing rich internet applications using Flash or HTML5
Expert at integrating assets and content into projects, utilizing Photoshop to resize and downgrade files gracefully
Strong understanding of web servers, database servers, general networking, protocols, HTTP, FTP, etc.
Comfortable using CMS platforms
The ability to produce clean, reusable code"
